academic_performance,internship,starting_salary
Medium,0,38861.9
Low,0,31817.85
Medium,1,42084.26
High,0,49808.07
High,1,63364.76
Medium,1,40999.2
Medium,0,44008.12
High,0,46873.95
Low,1,35406.65
Medium,0,42674.51
Medium,1,49123.0
Low,0,31869.97
Medium,1,48722.63
Low,0,29115.06
Medium,1,42846.38
High,1,60172.48
Low,0,20799.42
High,0,47982.89
Low,1,33757.84
Medium,0,40894.04
Low,0,34508.03
High,0,51031.55
Medium,0,38912.24
Medium,0,44178.07
High,1,56420.63
Medium,1,45646.94
High,1,63008.27
Medium,1,49845.11
High,1,68272.16
Medium,1,35231.93
Low,1,41472.69
Medium,0,47427.27
Low,0,26590.02
Medium,1,44419.31
Medium,0,40432.2
Medium,0,37756.0
Low,0,28296.91
Low,1,51530.61
Medium,0,40010.65
High,1,57949.42
Medium,1,46872.9
Medium,1,45467.28
Medium,0,34379.96
Medium,0,44823.62
Low,1,34763.29
Medium,1,37215.76
Low,0,30808.12
High,1,56539.53
Low,0,35801.52
Medium,1,38259.6
Low,1,34419.96
Low,0,26595.62
Medium,0,35836.89
Low,0,31125.02
Low,1,32774.22
Medium,1,47518.99
Low,0,25535.5
Low,0,29290.91
High,0,51433.22
Medium,0,42092.06
High,1,55937.77
High,0,49789.14
Medium,0,37110.53
Low,0,37940.55
Medium,1,46070.61
High,0,44327.4
Medium,0,30179.4
Medium,0,45984.49
Low,0,23556.64
High,1,55929.45
Medium,1,39028.45
High,1,55717.22
Low,0,31560.55
Low,0,34003.25
Low,0,29542.51
Medium,0,39561.85
Low,0,24661.87
Low,1,33726.01
High,1,55190.78
Low,0,30206.15
High,1,54159.51
Medium,0,34627.88
High,1,48521.48
Medium,0,47537.75
High,0,52942.68
High,1,66793.95
Low,0,32006.52
Low,0,33329.68
Low,1,30472.62
Medium,0,47343.23
High,1,45765.94
Medium,1,48227.89
Medium,0,40556.25
Low,0,37295.31
High,1,54345.99
High,0,50192.12
Low,0,20340.6
Medium,1,35536.73
Low,0,31846.72
Medium,1,50693.72
Medium,0,41448.84
Low,0,29324.49
Medium,0,41539.93
Medium,1,45991.53
Medium,1,48311.83
Medium,0,35189.02
Low,0,31279.66
Medium,0,34941.57
Medium,1,50516.54
Medium,0,34527.14
Low,0,28876.68
Medium,0,42986.5
High,0,43397.76
Low,0,25927.97
Medium,0,51175.24
Low,0,34703.57
Medium,0,41673.2
Low,0,33226.33
Medium,1,36478.28
Medium,1,48142.31
Medium,1,54773.63
Medium,0,37530.53
Medium,0,49117.98
Medium,1,42686.95
Low,0,30606.97
Low,0,23303.42
High,1,57178.95
Low,0,30745.4
Medium,0,38887.46
High,0,45695.6
Low,0,31126.17
Medium,1,41861.39
Medium,0,45532.02
High,1,56296.51
High,0,47571.24
Medium,1,50002.09
Low,0,27845.56
Medium,0,44862.79
Medium,1,45588.92
Medium,0,30460.75
Low,1,37939.98
Low,0,29734.59
Medium,1,47774.67
Medium,0,41078.54
Medium,0,41111.14
Medium,0,40213.19
High,1,69413.31
Medium,0,42629.42
Low,0,21159.0
Low,0,22460.82
Low,0,32166.67
High,1,52137.86
Medium,1,50367.23
Medium,1,46614.58
Medium,1,46883.69
Medium,0,35398.16
High,0,52872.55
Medium,0,40861.13
Low,0,25317.92
Low,0,25338.01
Medium,1,53280.76
High,1,57840.06
Medium,0,38087.6
High,1,52271.14
Medium,0,40052.33
Low,0,31442.37
Low,0,23261.3
Low,0,29375.76
Medium,0,29755.06
Low,0,29876.94
Medium,0,47286.07
Medium,0,33494.01
Medium,1,44300.55
Low,0,28913.87
Medium,1,39378.46
Medium,0,37734.84
Medium,1,38393.36
High,0,45161.12
Low,0,30818.6
High,0,51937.02
Medium,0,38353.71
Medium,0,46709.7
Medium,1,48657.75
Medium,0,49839.39
Low,0,29407.67
Medium,0,34755.53
Medium,0,39055.76
Medium,0,50078.7
Medium,0,34987.52
High,1,59246.41
Medium,0,34852.62
Low,0,28168.39
Medium,1,42498.13
Medium,1,40413.36
Medium,1,48898.1
Medium,0,47198.08
High,1,59511.61
Low,0,30133.23
Medium,0,32566.86
High,0,50649.32
High,1,58126.82
Medium,0,39540.35
High,1,61641.11
Low,0,29016.63
High,1,52002.84
Medium,0,44935.71
Low,1,39333.73
Low,1,42490.63
Medium,1,47612.53
Low,1,30976.9
Medium,1,32044.52
Low,0,21386.58
Low,0,27096.49
Medium,0,46632.58
Medium,1,51118.28
Medium,0,37978.0
Medium,1,49067.67
High,1,48118.98
Medium,0,46206.53
Medium,1,43596.55
Medium,1,48236.09
Low,1,37690.38
Low,0,32326.32
Medium,1,38998.81
High,1,52064.61
Low,0,35273.31
Low,0,32538.58
Low,0,24594.92
High,1,56880.74
Medium,0,34768.39
Low,0,23675.86
Medium,0,36897.11
Medium,1,44518.4
Medium,0,33989.07
Low,0,34457.44
High,1,51453.17
Medium,0,39839.6
Medium,1,47241.12
Low,0,39231.37
Medium,0,42967.06
Medium,0,38477.2
Medium,0,35065.68
Low,0,23740.62
Medium,1,40091.74
Low,0,29252.62
Medium,1,51028.84
High,1,54356.5
Medium,1,42199.28
Medium,0,40570.23
Medium,0,48241.41
Medium,0,36225.92
High,1,57290.67
Low,0,28186.54
Medium,1,46005.14
Medium,0,43193.46
Medium,0,46870.47
Medium,0,39723.31
Medium,0,45670.04
High,1,57026.51
High,1,48517.95
Medium,1,44021.1
Medium,1,56622.26
High,1,54428.45
Low,0,28426.76
Low,1,33414.24
Medium,0,37672.46
High,1,48118.5
High,0,38509.54
Medium,1,41132.29
Low,0,28242.67
Medium,1,47752.87
Low,0,28150.03
Low,0,30633.85
Medium,1,39090.96
Low,1,26426.27
High,0,51738.39
Medium,1,48255.14
Medium,0,44910.11
Low,0,36021.73
Medium,0,46592.86
Low,0,33435.8
High,0,47147.04
High,1,56414.56
Medium,0,38391.19
Low,0,28850.47
High,1,56958.85
Medium,0,46329.1
Low,1,38802.81
Medium,1,44958.96
High,0,50492.6
Low,0,31801.48
Low,0,35891.43
High,1,64281.18
Low,0,30649.65
Low,1,33982.62
Medium,0,40789.01
High,0,55157.65
Medium,0,42605.12
High,0,47444.51
Medium,0,40062.06
Low,0,30080.11
High,0,46766.01
Medium,1,41707.26
Low,0,23955.11
Medium,0,39262.45
Medium,0,45655.58
Low,0,35094.4
Low,0,29868.88
Medium,1,53917.98
High,0,49726.5
Medium,0,38296.29
High,0,40113.35
Low,0,30996.05
Low,1,30521.84
Low,0,37260.42
Low,0,23783.28
Low,0,36435.35
Medium,0,41024.09
High,1,49254.85
High,0,41693.84
Low,0,31851.16
High,1,50395.46
Medium,1,35145.13
Low,1,44897.04
High,0,54341.88
Medium,0,34276.45
Low,0,20913.25
Medium,0,45904.45
Low,0,23228.06
Medium,0,40496.3
Medium,0,42188.1
High,0,47427.66
Low,0,25114.88
Medium,0,30490.6
Medium,1,47295.12
Medium,1,56902.69
Medium,1,39263.02
Medium,0,35016.18
High,1,58875.15
High,1,42811.33
High,1,51051.66
High,0,51044.81
Medium,1,40860.57
High,0,52591.6
Medium,0,42066.66
Medium,1,45574.38
Medium,0,36205.22
Medium,0,37948.76
Low,0,30391.65
High,1,56053.43
Medium,0,47135.8
Low,0,33646.27
Medium,1,43117.03
Low,0,32823.71
Low,0,33163.54
Low,0,26720.82
Medium,1,47909.44
Medium,1,43821.96
Medium,0,41459.72
Medium,1,50046.18
Medium,1,50129.95
Medium,1,40653.0
Medium,0,34433.13
Medium,0,48889.53
Low,0,38913.38
Low,1,38662.5
Medium,1,43518.32
Medium,0,38533.2
Low,0,25101.98
Low,0,31086.47
High,1,54388.37
High,0,49529.18
Medium,0,34248.52
Medium,0,44768.81
Medium,0,42243.12
High,1,57282.02
High,0,41070.25
Low,1,27412.98
High,0,44503.85
Low,0,33867.5
Low,0,27554.05
Medium,0,34827.57
Medium,0,43269.83
High,1,53379.52
Low,0,31865.18
Medium,0,34909.17
High,1,54865.16
High,0,56676.64
Low,0,36199.31
Medium,0,36034.96
Medium,0,38621.22
Low,0,34059.91
High,1,55442.61
High,0,51764.67
Low,0,36918.85
Low,1,36088.93
Low,0,27031.22
High,1,61280.11
Low,0,25886.62
Medium,1,44886.67
Medium,0,37105.97
Medium,0,34035.85
Low,0,29490.61
Low,1,35302.07
High,0,48744.8
High,0,55002.18
Medium,1,41200.58
Low,1,36807.56
Medium,1,38937.52
Medium,1,56990.35
Low,1,31721.75
High,0,41900.83
Medium,0,38834.47
Low,0,31133.34
High,0,54414.08
High,1,60365.84
Low,0,33113.68
Medium,0,44204.63
Medium,1,50518.27
Medium,1,46236.95
Low,0,26187.1
Medium,0,40445.47
High,0,46419.17
Medium,0,45246.08
Low,0,36009.91
Medium,1,51313.24
Medium,1,39247.79
High,0,55309.0
Medium,1,42133.49
Low,0,31844.44
Low,0,34136.97
Medium,0,32813.15
Low,1,39311.74
Medium,0,32262.4
Low,0,29003.62
Medium,0,44882.47
Medium,1,51634.73
High,0,54042.84
High,1,52177.44
Low,0,26999.92
Medium,0,39287.44
Low,0,30269.24
Medium,1,49376.68
Medium,0,39678.62
High,1,52691.89
High,0,48206.56
Medium,1,50678.81
Medium,1,45280.95
High,0,57619.5
High,1,59753.72
Low,0,27384.05
Medium,0,37754.46
Medium,0,39459.19
Low,0,29316.25
Low,0,35780.23
Low,0,27297.76
Medium,0,40558.91
Low,0,31676.09
Low,1,38527.59
Low,1,37362.04
High,1,56978.43
High,1,52611.71
Medium,1,43103.06
Medium,0,41239.51
High,0,49055.66
Low,0,25337.77
Low,0,27802.41
Low,0,30856.59
Low,0,35940.37
Medium,0,35292.8
High,0,44495.72
Medium,1,48802.08
Medium,1,42956.76
High,0,45764.13
Low,1,34907.41
Low,0,25504.02
Medium,0,51020.72
Medium,0,36129.33
Low,0,30951.56
Medium,1,47589.56
Medium,0,44739.96
Medium,0,34608.05
Medium,0,42269.25
Medium,0,31790.14
Low,0,31545.59
Medium,0,39711.12
Low,1,38758.21
High,0,51302.37
Medium,1,44443.69
Medium,1,44825.26
Medium,1,37723.98
Medium,0,35928.35
Medium,1,52605.5
High,1,56022.92
High,1,58409.46
Medium,1,41913.39
Low,0,34354.0
Medium,0,38603.91
Medium,0,32815.79
Low,0,29588.04
Low,1,41477.09
High,1,44667.5
Low,0,33679.09
Medium,0,40787.69
Medium,0,52963.63
Medium,0,51473.83
Low,1,26179.3
High,0,56907.28
Medium,0,38048.13
Medium,1,44027.72
Medium,1,42120.68
Medium,0,36503.66
High,1,61588.42
Medium,1,33229.05
Medium,0,36674.67
High,1,58381.53
Medium,0,29805.97
Low,0,28848.4
Low,0,23957.96
High,0,51170.08
Medium,1,45249.64
Medium,1,49665.83
Medium,1,33404.31
Low,0,32151.88
Medium,0,36250.2
Low,1,42253.56
Medium,0,37785.33
Medium,1,40913.92
Medium,0,37250.2
Medium,0,42830.75
High,1,58482.13
Medium,1,44873.42
Low,0,25108.32
Low,0,24077.13
Medium,1,48387.5
High,1,57619.23
High,1,57053.69
High,1,62914.55
Medium,0,36034.2
Medium,1,54888.31
Medium,1,46686.69
Low,0,27474.88
Low,0,29728.64
High,0,44037.58
Low,0,24896.2
Low,0,29436.32
Low,0,33883.31
High,0,46478.55
Medium,1,55746.48
Medium,0,39786.83
High,1,51989.62
Medium,0,33579.43
Medium,0,37399.28
Low,0,37211.97
Low,0,38619.84
High,1,58070.95
Medium,0,40281.25
Medium,1,37823.38
Medium,0,27142.6
Medium,0,40943.59
Low,0,28009.56
Low,0,27263.06
Low,0,31986.08
Low,0,23311.24
High,0,57307.6
Low,0,39312.87
Low,0,33449.75
Medium,1,43493.18
High,0,46977.95
Low,0,28458.06
Low,1,36597.58
Medium,1,50044.66
Medium,0,42251.23
Medium,1,51304.57
High,0,52760.26
High,1,60166.15
Medium,1,44851.45
Medium,0,34254.81
Medium,0,46433.67
Low,0,40925.52
High,0,51476.46
Medium,1,42272.48
Low,0,32367.0
Medium,0,38237.73
Low,0,30158.93
Medium,0,40423.26
Medium,1,41213.69
Medium,1,41406.16
High,1,54641.39
Low,0,29010.31
Medium,0,42850.03
Medium,0,41353.15
Medium,1,48030.88
Medium,0,39294.65
Medium,0,35966.12
Medium,0,34783.61
Low,1,39947.17
High,1,52572.73
Medium,0,36838.38
Medium,1,51396.27
Low,0,28032.67
Low,0,19101.12
Medium,1,46102.34
High,1,52254.21
Medium,0,36386.7
High,1,54304.47
Medium,1,34761.84
Medium,1,35703.96
Low,0,27699.21
High,1,57805.49
Low,0,28684.5
High,1,53467.25
High,0,49991.04
High,0,54450.46
Medium,0,40195.64
Medium,0,39746.01
Medium,1,42218.33
Low,0,28052.94
Medium,0,40895.68
Low,0,36576.3
Medium,0,41188.37
Low,0,25929.1
Low,0,28497.04
Medium,0,45538.9
Medium,0,40390.32
Medium,0,33083.85
Low,0,32169.07
Medium,0,36781.12
Low,0,24254.76
Medium,0,40423.24
Medium,1,40793.58
Medium,0,44063.06
Medium,0,40450.23
Medium,0,46719.53
Medium,1,46735.58
Medium,0,37513.45
Medium,0,37448.76
Medium,1,43193.04
Low,0,32468.07
Medium,1,37791.6
Medium,1,46365.91
Medium,1,40402.77
Low,0,41200.5
Low,0,32763.16
High,0,53254.99
Medium,0,40364.89
Low,0,22024.5
Medium,0,40092.92
Medium,0,41954.21
High,1,52146.4
Low,0,29615.58
Low,0,33156.21
High,1,55557.68
Low,0,31359.48
Low,0,32625.36
High,1,61175.91
Medium,1,40832.49
Low,1,44697.84
Low,0,39686.26
Low,1,32232.15
Low,0,33361.45
High,1,64109.09
Medium,1,52202.93
Medium,0,31411.97
High,0,49232.29
Medium,0,37484.31
Low,0,34280.32
Medium,0,44728.49
High,1,49091.64
High,0,46464.04
Low,0,22127.33
Medium,1,44557.97
Medium,0,38561.15
High,1,57323.45
Low,1,44022.99
Medium,0,41338.34
High,1,53504.46
Medium,0,44019.89
Medium,1,43244.25
Low,0,29100.98
Low,0,30869.62
Medium,0,34045.15
High,1,53457.92
Low,1,31007.31
Medium,0,44034.8
Medium,0,34852.06
Low,0,25302.04
Medium,0,36448.72
Medium,1,41085.89
High,1,63368.15
Medium,0,45422.96
Medium,0,42449.32
Low,1,32967.27
High,0,49681.18
Low,0,37897.08
Medium,0,38452.05
Low,0,24628.89
High,1,59083.39
Medium,0,38822.96
Medium,0,39132.72
Low,1,33875.5
Medium,1,44226.19
Medium,1,47484.91
Medium,0,38476.02
Low,0,31541.9
High,1,60219.56
High,0,57389.35
Low,0,25487.01
High,0,55103.83
Medium,1,50665.92
Medium,1,51306.45
Medium,0,40246.11
Medium,0,38804.06
Medium,1,37276.1
Medium,1,45496.49
Medium,1,53911.03
Medium,0,41571.55
Medium,0,38921.31
Low,0,32901.05
High,1,49067.54
Medium,1,43635.31
Low,0,34074.64
Low,1,37794.63
Medium,0,37498.78
High,1,63918.4
Medium,0,32701.75
Medium,0,41566.36
Low,0,34233.81
Medium,0,46176.82
High,1,55609.7
Medium,1,48828.99
Low,0,30021.33
Medium,0,48342.38
Low,0,31614.49
Medium,1,50799.85
Medium,1,39221.94
Medium,1,44430.64
Low,1,37697.36
High,1,57653.04
Medium,0,37158.42
Medium,1,35695.98
Medium,1,36199.25
Medium,1,40263.15
Medium,0,53937.08
Medium,0,24821.71
Medium,0,39162.11
Low,0,28530.19
High,1,55210.8
Medium,1,44587.89
Low,0,25098.02
Medium,0,45094.54
High,0,41842.45
High,1,64349.54
Medium,0,42258.94
Low,0,25442.55
Medium,1,41547.48
Low,0,35720.09
High,0,43288.39
Low,0,30247.77
Low,0,29844.54
Medium,0,39711.13
Medium,0,42726.14
Medium,0,43223.33
Medium,1,47065.61
Low,0,35604.3
Low,1,36287.98
Medium,0,37491.99
Low,0,24343.6
Medium,0,40309.18
Medium,0,41949.72
Medium,0,31163.29
High,1,57217.12
High,1,50641.33
High,0,45494.82
Low,0,30752.71
Low,0,19503.84
Medium,1,52235.23
High,1,59558.24
High,1,49053.25
High,1,54057.24
Low,0,30763.41
High,0,46256.16
Medium,1,42514.22
Low,0,29386.71
Medium,0,39943.31
Low,0,29336.36
Medium,0,40282.06
Medium,0,41873.71
Medium,0,38320.96
Medium,1,47166.45
High,1,60847.31
Medium,0,42260.59
Medium,0,48706.18
High,1,47987.27
High,1,52085.28
Low,1,36818.95
Medium,0,41212.78
Low,0,28069.34
Low,0,33063.7
Medium,0,41041.21
High,1,60880.67
Low,0,24700.41
High,1,55278.18
High,1,52775.93
High,0,54286.47
Low,0,32730.72
High,0,47592.56
Medium,1,50003.62
Medium,1,44890.57
Low,0,23784.07
Low,0,28730.45
Medium,0,51591.34
Medium,0,39050.94
Low,1,36183.79
Low,0,31439.83
Medium,0,39784.26
Low,0,37661.16
High,1,58665.6
Low,1,38263.66
Low,0,28654.78
Medium,1,48476.45
Medium,1,43459.71
Medium,1,47136.62
Medium,1,55323.0
High,1,62808.15
Medium,0,39416.72
Low,0,31118.19
Medium,1,39509.72
High,1,53786.54
Medium,1,33880.41
Low,0,34568.38
Medium,0,36257.83
Medium,0,39518.91
Medium,1,42733.23
Low,1,40150.59
Low,0,36844.46
Medium,0,47057.13
Low,0,23614.77
Medium,0,43271.57
Medium,1,40641.68
Low,0,30743.37
High,0,54816.76
High,1,53695.21
Medium,0,41103.2
Low,0,26905.68
Low,1,40458.54
Medium,0,38915.65
Low,0,27328.81
High,0,51701.26
Low,0,34601.44
Medium,1,38025.32
Medium,0,42289.28
Medium,0,37508.41
Low,0,33335.57
Medium,0,37409.5
Low,0,25683.29
High,1,51449.98
Low,1,35827.51
High,1,57677.92
High,0,46876.42
Low,1,35275.38
Medium,0,36774.79
Low,0,28128.42
High,1,52532.46
Medium,1,41461.77
Medium,1,38901.09
Medium,0,39630.46
Low,1,40663.71
High,1,55425.45
Low,0,28510.26
Medium,0,44028.86
Medium,1,42539.12
High,1,55964.53
Low,0,22221.74
Medium,0,39979.28
Medium,0,38335.14
Medium,1,35688.06
Low,0,27760.49
Low,0,18254.02
Low,1,32048.56
Medium,1,47468.53
Low,0,25464.27
Medium,0,36447.32
Low,0,22399.53
High,0,51442.64
High,0,47786.38
Medium,0,39796.88
Medium,1,50745.54
Low,0,25000.01
Low,1,41321.92
Low,0,28724.16
Medium,0,45256.36
Medium,1,44437.42
High,1,46827.12
Medium,1,38792.5
Medium,1,43695.69
Medium,1,36683.91
Medium,1,47649.35
Low,0,34099.63
Medium,1,37584.31
Medium,0,38575.69
Medium,0,39534.71
High,1,58444.07
Medium,1,47050.16
Low,0,27931.19
Medium,1,37927.69
Medium,0,40007.42
Low,0,29352.91
Medium,1,40898.97
High,1,65588.88
High,0,50864.65
Low,0,26750.47
High,0,47200.42
Medium,1,49161.79
Medium,0,45945.07
Medium,0,43085.07
High,1,60082.43
Medium,0,33808.39
Medium,1,44772.75
Medium,0,34245.63
Medium,1,49018.27
Low,0,34486.32
High,1,50050.64
Medium,0,37002.75
Medium,0,35181.9
Low,0,31127.47
Medium,0,39495.95
Low,1,35191.34
Low,1,33366.42
Medium,0,49164.02
Medium,0,44799.03
Medium,1,44281.42
Low,0,22349.46
Medium,0,31525.53
Low,0,21909.77
High,1,57190.78
Medium,0,39179.82
Medium,0,46159.42
Medium,1,48584.07
Low,0,18851.67
High,1,50893.39
Low,1,26608.24
Medium,1,42989.75
Medium,0,41552.12
Low,0,30376.52
High,0,49911.85
Medium,0,34132.72
Low,0,41552.51
Low,0,30762.77
Low,1,42859.9
High,0,54085.38
Medium,0,43047.52
Low,0,33052.9
Low,1,32224.17
Medium,1,42049.43
Medium,0,39499.01
Medium,0,39186.22
Medium,1,32739.18
Low,0,29921.53
Medium,1,47854.84
High,1,48487.6
Low,0,24652.57
Medium,0,40325.29
Medium,1,47055.57
Medium,0,39164.35
Low,0,31727.75
High,1,55664.89
Medium,0,38076.78
Medium,0,39822.7
Medium,1,44843.88
Low,0,30112.52
Low,0,29254.6
Medium,0,41704.6
Low,0,34739.33
Medium,0,42173.9
Medium,0,28456.1
Medium,1,38066.65
Medium,0,42960.45
Medium,0,35926.37
Low,1,40870.06
Medium,1,37609.78
Medium,1,49125.57
Medium,1,40627.39
Low,0,35613.4
Medium,1,41306.59
Low,0,25165.02
Low,0,30402.92
Low,0,22663.39
High,1,50259.96
Low,0,34341.42
Low,0,37259.11
Low,1,33864.76
Low,1,32522.76
Medium,1,37382.76
Low,1,38172.53
Low,1,32790.25
Medium,0,33947.91
Medium,0,41388.83
Medium,0,33405.32
Medium,1,45761.46
Low,0,28039.88
Medium,0,40959.78
Low,0,22735.54
Medium,0,40991.1
Medium,0,31115.5
Low,0,31356.16
Medium,0,39553.02
High,0,40632.12
High,0,49932.99
Medium,0,43491.92
Medium,1,42780.48
Low,1,28494.71
Low,0,27854.08
Medium,1,33665.66
Medium,0,41580.9
High,0,53759.68
Medium,0,37653.62
Medium,1,43708.74
Medium,0,45564.61
High,0,57690.8
Medium,0,43653.58
Medium,0,34928.62
Medium,1,51183.39
High,0,53084.54
Low,1,36188.65
High,1,56551.09
Medium,1,50337.84
Medium,1,35698.7
Medium,0,39241.29
Medium,1,39307.1
Low,0,32052.86
High,0,45916.5
Medium,0,55431.41
Medium,0,43760.71
Low,0,24176.68
Medium,1,49792.26
Medium,1,42953.97
Medium,1,45460.19
Medium,0,39290.51
Medium,0,30865.74
High,1,51978.72
Medium,0,34363.2
High,1,42932.71
Low,0,27347.63
Medium,0,38693.58
Medium,1,37651.63
Medium,0,45392.95
High,1,56860.19
Low,0,30512.63
Low,0,32572.49
High,1,57731.76
Low,0,31336.47
Medium,0,47724.33
Medium,0,29524.53
High,1,57661.18
Low,0,28130.11
Low,0,37000.38
Medium,0,41841.54
High,1,54431.6
Medium,0,47209.06
Medium,1,44085.27
Medium,0,42094.47
High,1,51851.77
High,1,55658.43
High,0,60326.67
Low,0,34301.77
Low,0,32131.22
Medium,1,38131.46
High,1,66788.71
Low,1,28895.51
Low,0,30355.77
Medium,0,42307.66
Low,1,38156.92
Medium,0,36469.43
Medium,1,48352.54
Medium,1,38862.79
Medium,0,48289.9
Medium,0,33579.22
Medium,0,37406.29
Medium,0,42855.66
Medium,0,39146.83
Medium,1,52579.58
Low,0,36293.07
Low,0,32468.37
Low,0,26405.42
Low,0,29372.61
Medium,1,37696.98
High,1,50791.45
Medium,0,38783.4
Medium,1,49396.15
Medium,0,42123.82
Medium,1,43651.24
Medium,0,36206.26
Low,0,33822.07
Low,0,27111.66
Medium,1,48402.41
High,0,52587.88
Low,0,35335.36
Low,0,25721.61
Medium,0,37782.25
Low,0,29989.05
High,1,53459.87
Medium,0,36631.8
High,1,51587.58
Medium,0,33601.77
Medium,1,41137.79
Medium,0,43493.94
Medium,0,44457.31
Medium,0,41472.16
Low,1,33771.94
Medium,1,44467.43
Medium,1,52051.09
High,1,59273.33
Medium,1,31936.96
Medium,1,40739.5
Low,0,27403.73
Medium,1,52656.07
Medium,1,48161.89
High,1,47804.0
High,1,58474.01
Low,0,44362.31
High,1,59118.45
Low,0,25653.29
Medium,1,52508.66
Medium,0,41674.81
Low,0,26632.09
Medium,0,40244.08
Low,0,28789.87
Low,0,26496.86
Medium,0,33912.4
Medium,0,36991.21
High,1,54748.98
Medium,0,43976.28
Medium,1,38620.4
Medium,0,33102.59
Low,0,30525.21
Low,0,28354.29
Medium,0,38031.46
Medium,0,35404.01
Medium,1,40647.74
Medium,0,34387.92
Medium,0,31041.88
Low,0,31686.68
Low,0,32473.09
High,1,63317.66
Medium,0,42948.98
High,1,54823.19
Low,0,32370.01
High,0,48132.6
Low,0,25737.44
Low,0,33240.55
High,1,56570.16
Low,0,23616.04
Medium,0,39810.06
Low,0,25839.87
Medium,0,44600.66
High,0,47863.77
Medium,1,53538.22
Medium,1,50896.19
Low,0,24544.3
Medium,1,41666.0
Medium,1,48359.67
Low,0,30278.65
Medium,1,43600.19
Low,1,35276.9
High,1,54376.6
Medium,1,50036.77
Low,0,28575.35
Medium,0,42343.22
Medium,0,42319.58
Medium,0,46217.22
High,0,49647.19
Medium,1,45784.02
High,1,56870.35
Medium,1,41755.0
Low,0,29209.18
Medium,0,35457.3
Medium,0,43435.87
Medium,1,52833.93
High,0,40454.49
Medium,1,49990.09
High,1,54779.53
Medium,0,46312.1
Medium,1,46301.47
Medium,0,44855.34
Medium,1,44476.1
High,1,55239.44
Medium,0,44815.76
Low,0,42265.13
Medium,0,37362.81
Medium,0,40577.69
Low,1,31377.37
Low,0,28805.36
Medium,0,37433.82
Medium,1,40012.08
Medium,0,42538.89
Low,0,31017.91
Low,0,25526.07
Medium,1,39176.53
Medium,0,44338.38
Low,1,32527.63
Medium,0,51215.57
Medium,1,44577.86
Low,0,30219.07
Low,1,33866.21
Low,0,22948.73
High,0,42935.87
Medium,1,51936.3
Medium,1,51688.75
Medium,0,35078.84
Medium,0,42490.11
Medium,0,46662.8
Medium,0,33372.26
Low,1,34943.17
Medium,0,37374.52
Medium,0,40825.41
Medium,0,46163.24
Medium,1,46990.21
Low,1,37948.76
Medium,0,28905.75
Medium,1,48499.84
High,0,49820.53
Medium,1,55795.91
Medium,0,42996.77
Medium,1,43366.86
High,1,64433.71
Medium,1,44640.84
Medium,0,41377.03
Medium,1,38085.06
Medium,1,41844.6
High,1,51406.31
Low,1,34087.38
Low,0,23904.58
High,1,46396.75
Medium,0,40532.8
Medium,0,32660.0
Medium,0,43639.23
Low,0,39852.33
Medium,1,46136.16
Medium,0,41315.31
Medium,0,28895.69
Medium,0,43121.98
High,0,49623.71
Low,0,32394.48
High,1,49145.66
Low,0,28661.51
Medium,0,46155.13
High,1,51189.3
Medium,0,38379.8
Medium,0,44511.14
Medium,0,43481.29
Medium,1,50283.96
Low,0,26429.31
High,1,54220.07
Medium,0,35509.76
Medium,1,40205.84
Medium,0,35233.77
Low,0,29796.93
Low,0,37935.3
Medium,0,46345.84
Medium,0,42698.94
Medium,1,40439.63
High,1,49899.39
Low,0,28554.88
Medium,0,42045.06
Low,0,32790.12
Medium,1,46198.68
Low,0,29534.56
High,1,56069.6
Low,0,27246.59
High,1,47788.74
Medium,1,43553.07
High,0,50915.37
Medium,0,39360.79
High,0,42377.09
Low,0,28937.87
Medium,0,36934.34
High,1,61681.21
Low,0,32808.32
Low,0,14939.27
Medium,0,40253.08
High,1,49316.38
Medium,1,37736.26
Medium,0,28551.5
Low,0,34383.31
Low,0,35065.72
High,1,47500.7
Low,0,35595.21
Medium,0,50513.42
High,1,53967.18
Low,0,25483.26
Medium,1,44635.76
Low,1,40843.51
Medium,0,46579.97
Low,0,29824.08
Medium,0,35405.35
Medium,0,41214.9
Medium,0,39512.42
Medium,1,45595.75
Low,0,28066.36
Medium,1,45958.64
Medium,0,30680.03
Medium,0,41794.39
Low,1,40682.01
Medium,0,39049.08
Low,0,30628.69
Medium,0,31971.57
Low,0,32601.6
Medium,1,49635.02
Low,0,38204.42
High,0,38126.69
High,0,52642.59
Low,0,21300.82
Medium,0,41955.79
Low,1,32228.22
Medium,0,42502.7
Medium,0,42154.82
Medium,1,45415.14
Medium,0,37717.57
Low,1,35809.64
Medium,0,44692.8
Low,1,36337.46
Medium,1,48952.61
Medium,0,33056.21
Medium,0,40321.06
Low,0,27578.77
Medium,0,43887.41
Medium,1,47654.81
Low,1,32431.6
Medium,1,45768.13
High,0,49297.69
High,0,51961.08
Medium,1,46742.63
Medium,1,45341.89
Low,0,23310.62
High,0,57424.38
Low,0,35277.68
High,1,55447.24
Medium,1,47593.78
Medium,0,43005.71
High,1,51547.12
Low,0,36210.57
Medium,0,29840.57
Medium,0,31478.6
Low,0,26426.42
Medium,1,46678.77
Medium,1,45665.86
Medium,1,45363.69
Low,0,29642.67
High,1,53396.16
Low,1,28623.13
Low,0,23116.38
Low,0,23579.2
Low,0,24534.73
Low,0,22926.44
High,0,42819.94
Medium,1,43630.81
